"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Mfger Part#","Digikey Link","LCSC Link"
"C1","1","1u","","","","Capacitor_SMD:C_0402_1005Metric","~","CL05A105KA5NQNC","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL05A105KA5NQNC/3887103","https://www.lcsc.com/product-detail/C52923.html?s_z=n_CL05A105KA5NQNC"
"C2,C4,C6,C9","4","10u","","","","Capacitor_SMD:C_0402_1005Metric","~","CL05A106MP8NUB8","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL05A106MP8NUB8/5961314","https://www.lcsc.com/product-detail/C307415.html?s_z=n_CL05A106MP8NUB8"
"C3,C5,C8","3","10u","DNP","","","Capacitor_SMD:C_0402_1005Metric","~","CL05A106MP8NUB8","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL05A106MP8NUB8/5961314","https://www.lcsc.com/product-detail/C307415.html?s_z=n_CL05A106MP8NUB8"
"C7","1","47n","","","","Capacitor_SMD:C_0402_1005Metric","~","CL05B473KB5VPNC","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL05B473KB5VPNC/11487772","https://www.lcsc.com/product-detail/C307339.html?s_z=n_CL05B473KB5VPNC"
"J1,J2","2","Conn_01x05_Pin","","Excluded from BOM","","Library:5_Castellated","~","","",""
"L1","1","1u","","","","Inductor_SMD:L_1008_2520Metric","~","LQM2HPN1R0MGHL","https://www.digikey.com/en/products/detail/murata-electronics/LQM2HPN1R0MGHL/4905781?s=N4IgTCBcDaIDIEUCyYASAFAcgRgEoAYkBxVOEAXQF8g#product-details-substitutes","https://www.lcsc.com/product-detail/C162587.html"
"R1","1","100k","","","","Resistor_SMD:R_0402_1005Metric","~","RC0402FR-07100KL","https://www.digikey.com/en/products/detail/yageo/RC0402FR-07100KL/726526","https://www.lcsc.com/product-detail/C60491.html?s_z=n_RC0402FR-07100KL"
"R2","1","100k","DNP","Excluded from BOM","","Resistor_SMD:R_0402_1005Metric","~","RC0402FR-07100KL","https://www.digikey.com/en/products/detail/yageo/RC0402FR-07100KL/726526","https://www.lcsc.com/product-detail/C60491.html?s_z=n_RC0402FR-07100KL"
"R3,R4","2","10k","","","","Resistor_SMD:R_0402_1005Metric","~","RC0402JR-0710KL","https://www.digikey.com/en/products/detail/yageo/RC0402JR-0710KL/726418","https://www.lcsc.com/product-detail/C60489.html?s_z=n_RC0402JR-0710KL"
"R5","1","0","DNP","Excluded from BOM","","Resistor_SMD:R_0402_1005Metric","~","","",""
"U1","1","BQ25619ERTWR","","","","Library:RTW0024P","https://www.ti.com/lit/gpn/bq25619e","BQ25619ERTWR","https://www.digikey.com/en/products/detail/texas-instruments/BQ25619ERTWR/13545367?s=N4IgTCBcDaIEIEUwFYBsBGAnAUQEoBUB1XEAXQF8g","https://www.lcsc.com/product-detail/C2873446.html?s_z=n_BQ25619ERTWR"
